# jdk-only method-granular multi-image sweep — H25-1 N1
# regenerate: scripts/jdk-only-image-method-index.py per image, then scripts/jdk-only-image-method-sweep.py --tsv
# census: /data/w45work/census.json (8317 registrations, strict mode)
# images: jdk17-linux=17.0.20.1 jdk17-mac-x64=17.0.20.1 jdk17-windows=17.0.20 jdk21-linux=21.0.12 jdk21-mac-x64=21.0.12 jdk21-windows=21.0.12 jdk25-linux=25.0.4 jdk25-mac-x64=25.0.4 jdk25-windows=25.0.4
# canary java/lang/StringUTF16.isBigEndian()Z: cross-version
# verdicts: cross-version=399 dead-everywhere=263 field-shaped=49 live=6507 no-image-class=1099
#
# cross-version rows MUST NOT be deleted: an image this host does not
# run declares the method.
# field-shaped rows MUST NOT be deleted either: the name IS on the
# hierarchy, as a FIELD. An index built from the method table alone calls
# them dead and is wrong; WORKER 3's independent javap sweep found the
# same shape (38 rows there, 42 here).
# dead-everywhere rows are the retirable population, and retiring them is
# predicted to move the shadow census by ZERO — they are never
# dispatched (H25-1 §3).
verdict	shape	class	name	descriptor	owns_slot	registered_by	declared_by
cross-version	-	java/lang/System$1	defineClass	(Ljava/lang/ClassLoader;Ljava/lang/Class;Ljava/lang/String;[BLjava/security/ProtectionDomain;ZILjava/lang/Object;)Ljava/lang/Class;	yes	native-builtins/src/shared_secrets_bridge.rs:2085	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	defineClass	(Ljava/lang/ClassLoader;Ljava/lang/String;[BLjava/security/ProtectionDomain;Ljava/lang/String;)Ljava/lang/Class;	yes	native-builtins/src/shared_secrets_bridge.rs:2079	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	defineUnnamedModule	(Ljava/lang/ClassLoader;)Ljava/lang/Module;	yes	native-builtins/src/shared_secrets_bridge.rs:2053	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	findBootstrapClassOrNull	(Ljava/lang/String;)Ljava/lang/Class;	yes	native-builtins/src/shared_secrets_bridge.rs:2093	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	getBytesUTF8NoRepl	(Ljava/lang/String;)[B	yes	native-builtins/src/shared_secrets_bridge.rs:2011	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	getCarrierThreadLocal	(Ljdk/internal/misc/CarrierThreadLocal;)Ljava/lang/Object;	yes	native-builtins/src/shared_secrets_bridge.rs:1942	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	getConstantPool	(Ljava/lang/Class;)Ljdk/internal/reflect/ConstantPool;	yes	native-builtins/src/shared_secrets_bridge.rs:2065	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	getDeclaredPublicMethods	(Ljava/lang/Class;Ljava/lang/String;[Ljava/lang/Class;)Ljava/util/List;	yes	native-builtins/src/shared_secrets_bridge.rs:2034	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	getEnumConstantsShared	(Ljava/lang/Class;)[Ljava/lang/Enum;	yes	native-builtins/src/shared_secrets_bridge.rs:1980	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	join	(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;I)Ljava/lang/String;	yes	native-builtins/src/shared_secrets_bridge.rs:2105	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	layers	(Ljava/lang/ClassLoader;)Ljava/util/stream/Stream;	yes	native-builtins/src/lib.rs:34962	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	newStringUTF8NoRepl	([BII)Ljava/lang/String;	yes	native-builtins/src/shared_secrets_bridge.rs:2005	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	removeCarrierThreadLocal	(Ljdk/internal/misc/CarrierThreadLocal;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1954	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	setCarrierThreadLocal	(Ljdk/internal/misc/CarrierThreadLocal;Ljava/lang/Object;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1948	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	setCause	(Ljava/lang/Throwable;Ljava/lang/Throwable;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1966	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	start	(Ljava/lang/Thread;Ljdk/internal/vm/ThreadContainer;)V	yes	native-builtins/src/shared_secrets_bridge.rs:2071	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$1	uncheckedGetBytesNoRepl	(Ljava/lang/String;Ljava/nio/charset/Charset;)[B	yes	native-builtins/src/shared_secrets_bridge.rs:2021	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/System$2	currentCarrierThread	()Ljava/lang/Thread;	yes	native-builtins/src/shared_secrets_bridge.rs:1864	jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/System$2	getCarrierThreadLocal	(Ljdk/internal/misc/CarrierThreadLocal;)Ljava/lang/Object;	yes	native-builtins/src/shared_secrets_bridge.rs:1942	jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/System$2	isCarrierThreadLocalPresent	(Ljdk/internal/misc/CarrierThreadLocal;)Z	yes	native-builtins/src/shared_secrets_bridge.rs:1960	jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/System$2	removeCarrierThreadLocal	(Ljdk/internal/misc/CarrierThreadLocal;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1954	jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/System$2	setCarrierThreadLocal	(Ljdk/internal/misc/CarrierThreadLocal;Ljava/lang/Object;)V	yes	native-builtins/src/shared_secrets_bridge.rs:1948	jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/System$2	start	(Ljava/lang/Thread;Ljdk/internal/vm/ThreadContainer;)V	yes	native-builtins/src/shared_secrets_bridge.rs:2071	jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/Thread	countStackFrames	()I	yes	native-builtins/src/deprecated_lang.rs:411	jdk17-linux,jdk17-mac-x64,jdk17-windows,jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/Thread	currentCarrierThread	()Ljava/lang/Thread;	no	native-builtins/src/lib.rs:34946	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	currentCarrierThread	()Ljava/lang/Thread;	yes	native-builtins/src/lib.rs:14982	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	ensureMaterializedForStackWalk	(Ljava/lang/Object;)V	yes	native-builtins/src/lib.rs:15825	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	findScopedValueBindings	()Ljava/lang/Object;	yes	native-builtins/src/lib.rs:15793	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	getNextThreadIdOffset	()J	yes	native-builtins/src/lib.rs:15531	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	getStackTrace0	()Ljava/lang/Object;	yes	native-builtins/src/lib.rs:15840	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	resume0	()V	yes	native-builtins/src/deprecated_lang.rs:404	jdk17-linux,jdk17-mac-x64,jdk17-windows
cross-version	-	java/lang/Thread	scopedValueCache	()[Ljava/lang/Object;	yes	native-builtins/src/lib.rs:15803	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	setCurrentThread	(Ljava/lang/Thread;)V	yes	native-builtins/src/lib.rs:15770	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	setScopedValueCache	([Ljava/lang/Object;)V	yes	native-builtins/src/lib.rs:15810	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	sleep0	(J)V	yes	native-builtins/src/lib.rs:15407	jdk21-linux,jdk21-mac-x64,jdk21-windows
cross-version	-	java/lang/Thread	sleepNanos0	(J)V	yes	native-builtins/src/lib.rs:15398	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	stop0	(Ljava/lang/Object;)V	yes	native-builtins/src/deprecated_lang.rs:386	jdk17-linux,jdk17-mac-x64,jdk17-windows
cross-version	-	java/lang/Thread	suspend0	()V	yes	native-builtins/src/deprecated_lang.rs:403	jdk17-linux,jdk17-mac-x64,jdk17-windows
cross-version	-	java/lang/Thread	threadState	()Ljava/lang/Thread$State;	yes	native-builtins/src/lib.rs:15335	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/Thread	yield0	()V	yes	native-builtins/src/lib.rs:15388	jdk21-linux,jdk21-mac-x64,jdk21-windows,jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/VirtualThread	notifyJvmtiDisableSuspend	(Z)V	yes	native-builtins/src/phases_late/concurrent.rs:8057	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/VirtualThread	postPinnedEvent	(Ljava/lang/String;)V	yes	native-builtins/src/phases_late/concurrent.rs:8068	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/VirtualThread	takeVirtualThreadListToUnblock	()Ljava/lang/VirtualThread;	yes	native-builtins/src/phases_late/concurrent.rs:8114	jdk25-linux,jdk25-mac-x64,jdk25-windows
cross-version	-	java/lang/foreign/AddressLayout	varHandle	()Ljava/lang/invoke/VarHandle;	yes	native-builtins/src/phases_late/foreign_ffm.rs:4007	jdk25-linux,jdk25-mac-x64,jdk25-windows
